price,title,location,land_size_m2,building_size_m2,link
Rp 200 Juta,Ready Siap Huni Harga 200Jt-An Free Semua Biaya Sampqi Balik Nama,"Wagir, Malang",60,30,https://www.rumah123.com/properti/malang-wagir/ready-siap-huni-harga-200jtan-free-semua-biaya-sampqi-balik-nama-hos41360135/
"Rp 3,9 Miliar",Dijual.rumah.tidar.malang.1lantai Lokasi.strategis,"Tidar, Malang",300,240,https://www.rumah123.com/properti/malang-tidar/1lantai-lokasistrategis-hos40846541/
"Rp 2,5 Miliar",Murah Cantik Siap Huni di Perum Elite Araya Malang Harga Terbaik,"Araya, Malang",240,400,https://www.rumah123.com/properti/malang-araya/murah-cantik-siap-huni-di-perum-elite-araya-malang-harga-terbaik-hos40269971/
"Rp 2,1 Miliar",Murah Rumah Luas di Tidar Kotamadya Siap Huni Dekat Sekolah2,"Tidar, Malang",300,250,https://www.rumah123.com/properti/malang-tidar/murah-rumah-luas-di-tidar-kotamadya-siap-huni-dekat-sekolah2-hos40440117/
"Rp 13,5 Miliar",Rumah Classic Terawat Siap Huni Lokasi Tengah Kota Malang,"Malang Kota, Malang",700,300,https://www.rumah123.com/properti/malang-malang-kota/rumah-classic-terawat-siap-huni-lokasi-tengah-kota-malang-hos38920185/
"Rp 13,5 Miliar",Rumah Terawat Tengah Kota Malang Daerah Gunung-gunung Klojen,"Malang Kota, Malang",700,300,https://www.rumah123.com/properti/malang-malang-kota/rumah-terawat-tengah-kota-malang-daerah-gununggunung-klojen-hos39064890/
Rp 8 Miliar,Rumah luas pojok dekat ITN,"Lowokwaru, Malang",614,1000,https://www.rumah123.com/properti/malang-lowokwaru/rumah-luas-pojok-dekat-itn-hos17618167/
Rp 12 Miliar,"DIJUAL – RUMAH LOKASI PRIME DI TERUSAN DIENG, MALANG","Dieng, Malang",534,460,https://www.rumah123.com/properti/malang-dieng/dijual-rumah-lokasi-prime-di-terusan-dieng-malang-hos39915018/
Rp 700 Juta,"Rumah, 2 Lantai, SHM, di Merjosari","Merjosari, Malang",64,54,https://www.rumah123.com/properti/malang-merjosari/rumah-2-lantai-shm-di-merjosari-hos41288928/
"Rp 3,2 Miliar",Rumah Premium Baru Gress Murah di Boulevard Araya Malang,"Araya, Malang",188,260,https://www.rumah123.com/properti/malang-araya/rumah-premium-baru-gress-murah-di-araya-malang-hos40079855/
"Rp 1,6 Miliar","Banting Harga Rumah Furnish 1,5 Lantai di Austinville Dieng","Dieng, Malang",120,131,https://www.rumah123.com/properti/malang-dieng/rumah-bagus-15-lantai-furnish-di-austinville-dieng-hos40843872/
"Rp 3,2 Miliar",Rumah Citra Garden Cluster The Peak Malang Sudah Renovasi,"Malang Kota, Malang",180,200,https://www.rumah123.com/properti/malang-malang-kota/rumah-citra-garden-cluster-the-peak-malang-sudah-renovasi-hos41227317/
"Rp 1,2 Miliar",Dijual Cepat Rumah 1 LT Siap Huni Diperumahan Villa Bukit Tidar,"Malang Kota, Malang",162,86,https://www.rumah123.com/properti/malang-malang-kota/dijual-cepat-rumah-1-lt-siap-huni-diperumahan-villa-bukit-tidar-hos41104207/
Rp 600 Juta,Rumah Strategis Bangunan Terawat di Plaosan Timur Malang,"Blimbing, Malang",70,36,https://www.rumah123.com/properti/malang-blimbing/rumah-strategis-bangunan-terawat-di-plaosan-timur-malang-hos40522955/
"Rp 2,75 Miliar",Rumah Baru Papaya 8 Buah Buah Area Buah Buahan Langsep Malang Kota,"Buah-buahan, Malang",170,320,https://www.rumah123.com/properti/malang-buah-buahan/rumah-baru-papaya-8-buah-buah-area-buah-buahan-langsep-malang-kota-hos39314054/
"Rp 1,9 Miliar",Rumah Soekarno Hatta Suhat Dijual Cepat! Jual Rugi!,"Soekarno Hatta, Malang",142,248,https://www.rumah123.com/properti/malang-soekarno-hatta/dijual-rugi-rumah-mewah-suhat-dua-lantai-dekat-ub-dan-polinema-hos40803892/
"Rp 3,1 Miliar",Rumah Hook 2 Lantai Berjarak 150 Mtr Dari Poros Suhat,"Soekarno Hatta, Malang",260,300,https://www.rumah123.com/properti/malang-soekarno-hatta/rumah-hook-2-lantai-berjarak-150-mtr-dari-poros-suhat-hos40932016/
"Rp 2,7 Miliar",Rumah Dekat Pusat Kota di Jl Siberut Malang,"Klojen, Malang",300,250,https://www.rumah123.com/properti/malang-klojen/rumah-dekat-pusat-kota-di-jl-siberut-malang-hos40015314/
"Rp 6,4 Miliar",Rumah Terawat Pusat Kota di Jl Ciliwung Malang,"Blimbing, Malang",826,300,https://www.rumah123.com/properti/malang-blimbing/rumah-terawat-pusat-kota-di-jl-ciliwung-malang-hos19243406/
"Rp 2,7 Miliar",DIJUAL SECEPATNYA RUMAH 1.5 LANTAI BAGUS HARGA SANGAT TERJANGKAU,"Lowokwaru, Malang",180,200,https://www.rumah123.com/properti/malang-lowokwaru/dijual-secepatnya-rumah-15-lantai-bagus-harga-sangat-terjangkau-hos39605227/
